rank,rider,team,b,p,year,distance_km,number_of_stages,time_sec,time_gap_to_winner_sec,result_type
6,Charles Crupelandt,,,,1910,4734,15,525600,0,points
7,"Ernest, Dit ''faber Ernest'' Paul",,,,1910,4734,15,554400,0,points
8,André Blaise,,,,1910,4734,15,597600,0,points
9,Julien Maitron,,,,1910,4734,15,615600,0,points
10,Aldo Bettini,,,,1910,4734,15,630000,0,points
11,Pierino Albini,,,,1910,4734,15,633600,0,points
12,Georges Paulmier,,,,1910,4734,15,655200,0,points
13,Ernesto Azzini,,,,1910,4734,15,698400,0,points
14,François Lafourcade,,,,1910,4734,15,738000,0,points
15,Jules Deloffre,,,,1910,4734,15,766800,0,points
16,Henri Cornet (geboren Jardy),,,,1910,4734,15,770400,0,points
17,Luigi Azzini,,,,1910,4734,15,792000,0,points
18,Constant Menager,,,,1910,4734,15,799200,0,points
19,Augustinn Ringeval,,,,1910,4734,15,867600,0,points
20,Frédéric Saillot,,,,1910,4734,15,928800,0,points
21,Maurice Pardon,,,,1910,4734,15,1137600,0,points
22,Joseph Leblanc,,,,1910,4734,15,1245600,0,points
23,Georges Fleury,,,,1910,4734,15,1285200,0,points
24,Joseph Habierre,,,,1910,4734,15,1375200,0,points
25,Jean Riou,,,,1910,4734,15,1436400,0,points
26,Auguste Guyon,,,,1910,4734,15,1450800,0,points
27,Jean Bouillet,,,,1910,4734,15,1461600,0,points
28,Lucien Pothier,,,,1910,4734,15,1479600,0,points
29,Maurice Decaup,,,,1910,4734,15,1544400,0,points
30,Lucien Leman,,,,1910,4734,15,1558800,0,points
31,Gabriel Mathonat,,,,1910,4734,15,1598400,0,points
32,Robert Chopard,,,,1910,4734,15,1612800,0,points
33,Pietro Ghislotti,,,,1910,4734,15,1771200,0,points
34,Lucien Roquebert,,,,1910,4734,15,1807200,0,points
35,Camille Biere,,,,1910,4734,15,1836000,0,points
36,Georges Cauvry,,,,1910,4734,15,1836000,0,points
37,Auguste Dufour,,,,1910,4734,15,1890000,0,points
38,Louis Jouin,,,,1910,4734,15,1911600,0,points
39,René Chaude,,,,1910,4734,15,1976400,0,points
40,Louis Picard,,,,1910,4734,15,2044800,0,points
41,Constant Collet,,,,1910,4734,15,2088000,0,points
1,Gustave Garrigou,,,,1911,5343,15,154800,0,points
2,Paul Duboc,,,,1911,5343,15,219600,0,points
3,Emile Georget,,,,1911,5343,15,302400,0,points
4,Charles Crupelandt,,,,1911,5343,15,428400,0,points
5,Louis Heusghem,,,,1911,5343,15,486000,0,points
6,Marcel Godivier,,,,1911,5343,15,507600,0,points
7,Charles Cruchon,,,,1911,5343,15,522000,0,points
8,"Ernest, Dit ''faber Ernest'' Paul",,,,1911,5343,15,550800,0,points
9,Albert Dupont,,,,1911,5343,15,565200,0,points
10,Henri Devroye,,,,1911,5343,15,615600,0,points
11,Firmin Lambot,,,,1911,5343,15,640800,0,points
12,Henri Cornet (geboren Jardy),,,,1911,5343,15,684000,0,points
13,Paul Deman,,,,1911,5343,15,712800,0,points
14,Julien Maitron,,,,1911,5343,15,777600,0,points
15,Jules Deloffre,,,,1911,5343,15,781200,0,points
16,Georges Paulmier,,,,1911,5343,15,813600,0,points
17,Ottavio Pratesi,,,,1911,5343,15,903600,0,points
18,Alfred Faure,,,,1911,5343,15,918000,0,points
19,Vincent D'hulst,,,,1911,5343,15,954000,0,points
20,Lucien Pothier,,,,1911,5343,15,1022400,0,points
21,Edouard Leonard,,,,1911,5343,15,1033200,0,points
22,Constant Menager,,,,1911,5343,15,1044000,0,points
23,Maurice Pardon,,,,1911,5343,15,1044000,0,points
24,Louis Colsaet,,,,1911,5343,15,1076400,0,points
25,Marius Vilette,,,,1911,5343,15,1180800,0,points
26,Ernest Ricaux,,,,1911,5343,15,1260000,0,points
27,Pietro Ghislotti,,,,1911,5343,15,1353600,0,points
28,Lucien Roquebert,,,,1911,5343,15,1407600,0,points
1,Odiel Defraeye,,,,1912,5289,15,176400,0,points
2,Eugène Christophe,,,,1912,5289,15,388800,0,points
3,Gustave Garrigou,,,,1912,5289,15,504000,0,points
4,Marcel Buysse,,,,1912,5289,15,529200,0,points
5,Jean Alavoine,,,,1912,5289,15,532800,0,points
6,Philippe Thys,,,,1912,5289,15,532800,0,points
7,Hector Tiberghen,,,,1912,5289,15,536400,0,points
8,Henri Devroye,,,,1912,5289,15,586800,0,points
9,Félicien Salmon,,,,1912,5289,15,597600,0,points
10,Alfons Spiessens,,,,1912,5289,15,601200,0,points
11,Louis Heusghem,,,,1912,5289,15,601200,0,points
12,René Vandenberghe,,,,1912,5289,15,698400,0,points
13,Vicenzo Borgarello,,,,1912,5289,15,763200,0,points
14,François Faber,,,,1912,5289,15,824400,0,points
15,Louis Engel,,,,1912,5289,15,867600,0,points
16,Charles Deruyter,,,,1912,5289,15,918000,0,points
17,Jacques Coomans,,,,1912,5289,15,936000,0,points
18,Firmin Lambot,,,,1912,5289,15,954000,0,points
19,Ottavio Pratesi,,,,1912,5289,15,1094400,0,points
20,Charles Guyot,,,,1912,5289,15,1112400,0,points
21,Jules Deloffre,,,,1912,5289,15,1152000,0,points
22,Gabriel Figuet,,,,1912,5289,15,1206000,0,points
23,Edouard Leonard,,,,1912,5289,15,1245600,0,points
24,Eugène Dhers,,,,1912,5289,15,1274400,0,points
25,Pierre-Joseph Heusghem,,,,1912,5289,15,1288800,0,points
26,Pierre Everaert,,,,1912,5289,15,1310400,0,points
27,Julien Maitron,,,,1912,5289,15,1317600,0,points
28,Henri Cornet (geboren Jardy),,,,1912,5289,15,1432800,0,points
29,François Lafourcade,,,,1912,5289,15,1432800,0,points
30,Augustinn Ringeval,,,,1912,5289,15,1468800,0,points
31,Maurice Leliaert,,,,1912,5289,15,1753200,0,points
32,Georges Oudin,,,,1912,5289,15,1778400,0,points
33,Fernand Courcelles,,,,1912,5289,15,1782000,0,points
34,Raymond Harquet,,,,1912,5289,15,1843200,0,points
35,Emile Druz,,,,1912,5289,15,1958400,0,points
36,Emile Eigeldinger,,,,1912,5289,15,1962000,0,points
37,Charles Dumont,,,,1912,5289,15,1965600,0,points
38,Henri Alavoine,,,,1912,5289,15,2077200,0,points
39,Emile Caudrelier,,,,1912,5289,15,2147483,0,points
40,Gaston Neboux,,,,1912,5289,15,2147483,0,points
41,Maurice Dartigue,,,,1912,5289,15,2147483,0,points
1,Philippe Thys,,,,1913,5287,15,712440,0,time
2,Gustave Garrigou,,,,1913,5287,15,712957,517,time
3,Marcel Buysse,,,,1913,5287,15,725095,12655,time
4,Firmin Lambot,,,,1913,5287,15,727605,15165,time
5,François Faber,,,,1913,5287,15,735604,23164,time
6,Alfons Spiessens,,,,1913,5287,15,741112,28672,time
7,Eugène Christophe,,,,1913,5287,15,763235,50795,time
8,Camillo Bertarelli,,,,1913,5287,15,771338,58898,time
9,Joseph Van Daele,,,,1913,5287,15,772433,59993,time
10,Emile Engel,,,,1913,5287,15,773194,60754,time
11,Louis Trousselier,,,,1913,5287,15,777930,65490,time
12,Jules Deloffre,,,,1913,5287,15,778531,66091,time
13,Clemente Canepari,,,,1913,5287,15,780913,68473,time
14,Paul Deman,,,,1913,5287,15,781862,69422,time
15,Vincent D'hulst,,,,1913,5287,15,785052,72612,time
16,Louis Petitjean,,,,1913,5287,15,791667,79227,time
17,Paul Hostein,,,,1913,5287,15,804906,92466,time
18,Maurice Leliaert,,,,1913,5287,15,807145,94705,time
19,Jean Alavoine,,,,1913,5287,15,812267,99827,time
20,Giuseppe Contesini,,,,1913,5287,15,819094,106654,time
21,Louis Colsaet,,,,1913,5287,15,823250,110810,time
22,Luc De Smet,,,,1913,5287,15,909487,0,time
23,Charles Dumont,,,,1913,5287,15,944875,0,time
24,Celidonio Morini,,,,1913,5287,15,987947,0,time
25,Henri Alavoine,,,,1913,5287,15,989392,0,time
1,Philippe Thys,,,,1914,5380,15,721728,0,time
2,Henri Pelissier,,,,1914,5380,15,721838,110,time
3,Jean Alavoine,,,,1914,5380,15,723941,2213,time
4,Jean Rossius,,,,1914,5380,15,728753,7025,time
5,Gustave Garrigou,,,,1914,5380,15,732549,10821,time
6,Alfons Spiessens,,,,1914,5380,15,735763,14035,time
7,Emile Georget,,,,1914,5380,15,737387,15659,time
8,Firmin Lambot,,,,1914,5380,15,740252,18524,time
9,François Faber,,,,1914,5380,15,744281,22553,time
10,Louis Heusghem,,,,1914,5380,15,746270,24542,time
11,Eugène Christophe,,,,1914,5380,15,752446,30718,time
12,"Ernest, Dit ''faber Ernest'' Paul",,,,1914,5380,15,756699,34971,time
13,Oscar Egg,,,,1914,5380,15,757768,36040,time
14,Léon Scieur,,,,1914,5380,15,757878,36150,time
15,Camille Botte,,,,1914,5380,15,758601,36873,time
16,Angelo Erba,,,,1914,5380,15,762610,40882,time
17,Don Kirkham,,,,1914,5380,15,764547,42819,time
18,Charles Kippert,,,,1914,5380,15,766449,44721,time
19,Jacques Coomans,,,,1914,5380,15,766503,44775,time
20,Ivor Munro,,,,1914,5380,15,767145,45417,time
21,Charles Charron,,,,1914,5380,15,768491,46763,time
22,Henri Devroye,,,,1914,5380,15,769862,48134,time
23,Maurice Brocco,,,,1914,5380,15,774084,52356,time
24,Julien Tuytten,,,,1914,5380,15,774302,52574,time
25,Vicenzo Borgarello,,,,1914,5380,15,776829,55101,time
26,Louis Petitjean,,,,1914,5380,15,778052,56324,time
27,Jules Nempon,,,,1914,5380,15,781303,59575,time
28,René Vandenberghe,,,,1914,5380,15,783111,61383,time
29,Marcel Baumler,,,,1914,5380,15,783283,61555,time
30,Marcel Godivier,,,,1914,5380,15,787545,65817,time
31,Paul Duboc,,,,1914,5380,15,788540,66812,time
32,Pierre Everaert,,,,1914,5380,15,791272,69544,time
33,Ottavio Pratesi,,,,1914,5380,15,795508,73780,time
34,Constant Menager,,,,1914,5380,15,797133,75405,time
35,Charles Cruchon,,,,1914,5380,15,797624,75896,time
36,Jules Deloffre,,,,1914,5380,15,801123,79395,time
37,Camillo Bertarelli,,,,1914,5380,15,805034,83306,time
38,Louis Trousselier,,,,1914,5380,15,807258,85530,time
39,Adrien Alpini,,,,1914,5380,15,816070,94342,time
40,Gaston Degy,,,,1914,5380,15,794082,72354,time
41,Raymond Harquet,,,,1914,5380,15,829973,108245,time
42,Louis Engel,,,,1914,5380,15,832991,111263,time
43,Emile Guyon,,,,1914,5380,15,833033,111305,time
44,Mario Spinelli,,,,1914,5380,15,848543,126815,time
46,Charles Dumont,,,,1914,5380,15,857479,135751,time
47,René Cottrel,,,,1914,5380,15,892674,170946,time
48,Sante Goi,,,,1914,5380,15,909860,0,time
49,Eduardo Cuchetti,,,,1914,5380,15,902944,0,time
50,Gaston Neboux,,,,1914,5380,15,937669,0,time
51,Henry Allard,,,,1914,5380,15,965712,0,time
52,Henri Alavoine,,,,1914,5380,15,987849,0,time
53,Marcel Rottie,,,,1914,5380,15,1024318,0,time
54,Henri Leclerc,,,,1914,5380,15,1078413,0,time
1,Firmin Lambot,,,,1919,5560,15,832035,0,time
2,Jean Alavoine,,,,1919,5560,15,838209,6174,time
3,Eugène Christophe,,,,1919,5560,15,840826,8791,time
4,Léon Scieur,,,,1919,5560,15,842370,10335,time
5,Honoré Barthelemy,,,,1919,5560,15,847297,15262,time
6,Jacques Coomans,,,,1919,5560,15,887329,55294,time
7,Luigi Lucotti,,,,1919,5560,15,889707,57672,time
8,Joseph Van Daele,,,,1919,5560,15,898217,66182,time
9,Alfred Steux,,,,1919,5560,15,905776,73741,time
10,Jules Nempon,,,,1919,5560,15,910287,78252,time
1,Philippe Thys,,,,1920,5503,15,822973,0,time
2,Hector Heusghem,,,,1920,5503,15,826414,3441,time
3,Firmin Lambot,,,,1920,5503,15,828643,5670,time
4,Léon Scieur,,,,1920,5503,15,828966,5993,time
5,Emile ''senior'' Masson,,,,1920,5503,15,833280,10307,time
6,Louis Heusghem,,,,1920,5503,15,836220,13247,time
7,Jean Rossius,,,,1920,5503,15,836768,13795,time
8,Honoré Barthelemy,,,,1920,5503,15,843092,20119,time
9,Félix Goethals,,,,1920,5503,15,856760,33787,time
10,Joseph Van Daele,,,,1920,5503,15,861714,38741,time
11,Eugène Dhers,,,,1920,5503,15,863482,40509,time
12,José Pelletier,,,,1920,5503,15,895245,72272,time
13,Théo Wynsdau,,,,1920,5503,15,913815,90842,time
14,Noël Amenc,,,,1920,5503,15,943320,120347,time
15,Joseph Muller,,,,1920,5503,15,944706,121733,time
16,Henri Ferrara,,,,1920,5503,15,947320,124347,time
17,Guillaume Cecherelli,,,,1920,5503,15,998208,175235,time
18,Marius Matheron,,,,1920,5503,15,1007237,0,time
19,Etienne Dorfeuille,,,,1920,5503,15,1014373,0,time
20,Pierre Hudsyn,,,,1920,5503,15,1023145,0,time
21,André Coutte,,,,1920,5503,15,1024441,0,time
22,Charles Raboison,,,,1920,5503,15,1071378,0,time
1,Léon Scieur,,,,1921,5485,15,798626,0,time
2,Hector Heusghem,,,,1921,5485,15,799742,1116,time
4,Luigi Lucotti,,,,1921,5485,15,808184,9558,time
5,Hector Tiberghen,,,,1921,5485,15,815025,16399,time
6,Victor Leenaerts,,,,1921,5485,15,816229,17603,time
7,Léon Despontin,,,,1921,5485,15,816740,18114,time
8,Camille Leroy,,,,1921,5485,15,827213,28587,time
9,Firmin Lambot,,,,1921,5485,15,829011,30385,time
10,Félix Goethals,,,,1921,5485,15,829972,31346,time
11,Louis Mottiat,,,,1921,5485,15,830510,31884,time
12,Eugène Dhers,,,,1921,5485,15,833702,35076,time
13,Henri Ferrara,,,,1921,5485,15,841740,43114,time
14,Noël Amenc,,,,1921,5485,15,844069,45443,time
15,Joseph Muller,,,,1921,5485,15,844069,45443,time
16,Félix Sellier,,,,1921,5485,15,848831,50205,time
17,Henri Colle,,,,1921,5485,15,852768,54142,time
18,Enrico Sala,,,,1921,5485,15,867584,68958,time
19,Guillaume Cecherelli,,,,1921,5485,15,880778,82152,time
20,Auguste Meyer,,,,1921,5485,15,881050,82424,time
21,Benjamin Javaux,,,,1921,5485,15,890160,91534,time
22,Pierre Hudsyn,,,,1921,5485,15,895450,96824,time
23,Joseph Normand,,,,1921,5485,15,899766,101140,time
24,Etienne Dorfeuille,,,,1921,5485,15,899890,101264,time
25,Charles Raboison,,,,1921,5485,15,902938,104312,time
26,Jules Deloffre,,,,1921,5485,15,914474,115848,time
27,"Ernest, Dit ''faber Ernest'' Paul",,,,1921,5485,15,919080,120454,time
28,Edgard Roy,,,,1921,5485,15,920081,121455,time
29,Charles Parel,,,,1921,5485,15,922774,124148,time
30,Paul Coppens,,,,1921,5485,15,805691,7065,time
31,Jean Kienlen,,,,1921,5485,15,929312,130686,time
32,Lucien Pothier,,,,1921,5485,15,948937,150311,time
33,Lucien Roquebert,,,,1921,5485,15,977271,178645,time
34,Robert Constantin,,,,1921,5485,15,1004285,0,time
35,Charles Cento,,,,1921,5485,15,1006311,0,time
36,Georges Kamm,,,,1921,5485,15,1007435,0,time
37,Adrien Alpini,,,,1921,5485,15,1016722,0,time
38,Henri Catelan,,,,1921,5485,15,1023023,0,time
1,Firmin Lambot,,,,1922,5375,15,799686,0,time
2,Jean Alavoine,,,,1922,5375,15,802161,2475,time
3,Félix Sellier,,,,1922,5375,15,802208,2522,time
4,Hector Heusghem,,,,1922,5375,15,802322,2636,time
5,Victor Leenaerts,,,,1922,5375,15,802418,2732,time
6,Hector Tiberghen,,,,1922,5375,15,804581,4895,time
7,Léon Despontin,,,,1922,5375,15,808355,8669,time
8,Eugène Christophe,,,,1922,5375,15,812025,12339,time
9,Jean Rossius,,,,1922,5375,15,812052,12366,time
10,Federico Gay,,,,1922,5375,15,813605,13919,time
11,Emile ''senior'' Masson,,,,1922,5375,15,814107,14421,time
12,Gaston Degy,,,,1922,5375,15,817039,17353,time
13,Arsène Alancourt,,,,1922,5375,15,818942,19256,time
14,Philippe Thys,,,,1922,5375,15,820624,20938,time
15,José Pelletier,,,,1922,5375,15,820895,21209,time
16,Joseph Muller,,,,1922,5375,15,827969,28283,time
17,Giuseppe Santhia,,,,1922,5375,15,828329,28643,time
